,category,value
0,A,346.1307483168755
1,D,508.63926406134686
2,A,888.4848349971323
3,C,642.3092916189216
4,C,489.77002297355085
5,C,636.9005941783175
6,B,772.1368215082364
7,C,523.9454335961524
8,A,841.4912611010383
9,B,512.0029528243028
10,D,966.8448461716796
11,D,400.0779920976131
12,C,836.3972446754573
13,C,428.6283724684732
14,D,216.12691125607196
15,B,862.0360009462017
16,C,561.5235530977516
17,A,465.23767668690084
18,C,336.29642508901713
19,A,517.615354572029
20,C,608.5561828153532
21,B,204.66025771543917
22,D,654.8361199565086
23,D,860.1088885495687
24,B,32.52538177691156
25,C,295.33244643894517
26,A,926.272411374688
27,C,14.20349748564631
28,B,153.71414970741694
29,D,640.6841189794068
30,A,181.21029578900905
31,D,406.37382586938196
32,B,527.3214319915052
33,C,719.5935413424706
34,D,550.6650987312646
35,C,10.87973702654721
36,C,523.081971964319
37,C,488.95502541844917
38,A,286.3407428750766
39,C,914.0169488206402
40,A,837.509720095185
41,D,258.90137263744384
42,D,700.8674938629213
43,D,123.91196173099195
44,A,724.2524588149503
45,D,549.4883494932787
46,B,668.298472114148
47,A,483.4176653168648
48,B,469.32808698582517
49,D,109.7541106262262
50,B,442.7079932055028
51,C,923.0798149186937
52,B,552.8930822761504
53,B,963.9483407941967
54,C,16.31722883868636
55,A,669.2717800103635
56,C,146.46749036738538
57,B,888.4677340817785
58,B,691.1089315408153
59,D,185.92924047764225
60,A,326.49955522346386
61,B,478.09056797890713
62,D,308.2236988764873
63,C,998.10039976695
64,D,911.8084067607116
65,D,426.688376801827
66,B,783.3273693926899
67,B,614.9718236580754
68,C,510.1969094258724
69,B,714.9734954218018
70,A,406.5212329131427
71,C,209.43674588518667
72,C,643.0265349543763
73,D,203.5558888788571
74,D,242.67547026397517
75,D,792.7493268129718
76,B,591.6066065497304
77,B,402.1733472377497
78,A,367.0472541134282
79,B,662.3043631849899
80,B,846.0309842447517
81,C,25.44257779622816
82,B,161.9603005346567
83,B,86.6080797117228
84,A,363.01048719938666
85,A,3.1498816505004523
86,A,678.1620277933749
87,B,589.2579104065488
88,D,529.1161110375717
89,C,36.04647013882567
90,A,751.403210504923
91,B,734.2272041032944
92,D,83.98258363496403
93,D,732.9634105104493
94,A,43.897955124423625
95,B,28.14536472812201
96,C,824.1178302304445
97,C,593.4310857723921
98,A,3.9007768363710227
99,B,434.2714626476316
